
2025/01/08 (21:40:19) | ===> btop++ v.1.4.0
2025/01/08 (21:40:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (21:53:53) | ===> btop++ v.1.4.0
2025/01/08 (21:53:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (22:15:23) | ===> btop++ v.1.4.0
2025/01/08 (22:15:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (21:23:54) | ===> btop++ v.1.4.0
2025/01/10 (21:23:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (21:23:59) | ===> btop++ v.1.4.0
2025/01/10 (21:23:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (11:07:18) | ===> btop++ v.1.4.0
2025/01/15 (11:07:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (11:29:28) | ===> btop++ v.1.4.0
2025/01/20 (11:29:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (18:26:53) | ===> btop++ v.1.4.0
2025/01/20 (18:26:53) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/20 (18:29:54) | ERROR: Stall in Runner thread, restarting!

2025/01/24 (14:00:05) | ===> btop++ v.1.4.0
2025/01/24 (14:00:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (14:30:41) | ===> btop++ v.1.4.0
2025/01/24 (14:30:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (14:35:14) | ===> btop++ v.1.4.0
2025/01/24 (14:35:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (14:55:20) | ===> btop++ v.1.4.0
2025/01/24 (14:55:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:00:27) | ===> btop++ v.1.4.0
2025/01/24 (16:00:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:16:55) | ===> btop++ v.1.4.0
2025/01/24 (16:16:55) | WARNING: Intel GPU: Failed to initialize PMU
